Bin,PopulationSum
0.0,0.0
100.0,758241.7217433397
200.0,614784.477172979
300.0,529974.466222726
400.0,466024.80450021266
500.0,396002.11210320995
600.0,329461.9562077914
700.0,320714.27512340265
800.0,264964.8591666324
900.0,243226.46914653978
1000.0,250586.92165486084
1100.0,215287.9167888533
1200.0,205319.42572446054
1300.0,182499.1321480185
1400.0,205855.3502797059
1500.0,147441.80828683102
1600.0,165017.39378044935
1700.0,160830.30277034704
1800.0,136724.31870834436
1900.0,155865.16174088983
2000.0,130594.83509612503
2100.0,141715.00535051664
2200.0,114409.86335486593
2300.0,156033.98781528004
2400.0,122183.26118490433
2500.0,129736.09700801154
2600.0,130186.50309643894
2700.0,100689.38337716414
2800.0,116402.72674071703
2900.0,77040.208356875
3000.0,85535.41591770388
3100.0,88412.25582569325
3200.0,110207.86759071099
3300.0,100716.5776226474
3400.0,90541.29737506062
3500.0,75853.61529619433
3600.0,78273.97923038248
3700.0,80592.832740888
3800.0,93893.62837622501
3900.0,73162.16244305018
4000.0,59251.532477484085
4100.0,44507.95442610979
4200.0,45591.1566970218
4300.0,55357.46991448663
4400.0,43413.435329280794
4500.0,40114.25115021318
4600.0,36557.231105968356
4700.0,69808.48687845934
4800.0,52248.860779817216
4900.0,33840.41397234611
5000.0,39470.41534648463
5100.0,20253.715601682663
5200.0,36020.96970452182
5300.0,36672.12012490723
5400.0,37607.28742947057
5500.0,27135.41661209613
5600.0,16537.66170494724
5700.0,28309.547295458615
5800.0,22932.720299247652
5900.0,35072.778878148645
6000.0,23856.283360242844
6100.0,36305.81938277371
6200.0,30852.970694065094
6300.0,37452.87402843777
6400.0,12619.972922584042
6500.0,19428.4686184749
6700.0,53105.58975163102
6800.0,13503.010205209255
6900.0,20512.88164179027
7000.0,27839.056906566024
7100.0,28255.643475296907
7200.0,14262.037086211145
7300.0,7292.673250615597
7400.0,44080.21028197743
7500.0,37210.51971722394
7600.0,45351.83156871796
7700.0,15344.034618496895
7800.0,7784.725319385529
7900.0,15702.208406448364
8000.0,23845.327649354935
8100.0,8054.94976234436
8200.0,24393.406868457794
8300.0,16465.092216494493
8400.0,16691.22391319275
8500.0,8458.217561197467
8600.0,8536.88234705478
8700.0,17305.662155151367
8800.0,8778.231070518494
8900.0,26531.219457600266
9000.0,8998.710139274597
9100.0,9077.92873764038
9200.0,9126.682119369507
9300.0,18489.91954421997
9400.0,9309.385131835938
9600.0,19068.935296833515
9700.0,9601.429403305054
9800.0,9760.437454223633
10000.0,9920.45309972763
10100.0,10044.758910775185
10300.0,10282.812283277512
10400.0,10309.40195786953
10500.0,20907.179573059082
10800.0,10724.628659248352
10900.0,10854.11384344101
11900.0,11840.66236782074
12200.0,12131.982091903687
12500.0,24900.665886696428
14000.0,13906.086372375488
14100.0,14070.415692031384
14500.0,14494.52452468872
15600.0,15590.08666229248
16500.0,16406.05246758461
18800.0,18775.86407470703
19000.0,18980.66470336914
21500.0,21463.322912216187
22000.0,21965.516624450684
22800.0,22786.1227684021
24800.0,24767.898780822754
25400.0,25382.029762268066
