bin2000,bin2020,pop2020_sum,pop2000_sum
0.0,0.0,0.0,0.0
1000.0,0.0,0.0,255.8566880710423
0.0,1000.0,8072962.91321665,0.0
1000.0,1000.0,2.0675674320273226E8,1.2441918045966019E8
2000.0,1000.0,2092123.8900633128,3370956.285557924
3000.0,1000.0,89866.76189385715,293384.02512142627
4000.0,1000.0,10440.431564230254,47113.249724270885
5000.0,1000.0,3694.5345771228895,21627.76799031347
8000.0,1000.0,924.9184229820967,7774.4780168533325
0.0,2000.0,782443.8475746758,0.0
1000.0,2000.0,2.8677336024928097E7,1.2522344600848371E7
2000.0,2000.0,1.7241312075241894E7,1.5087932721047703E7
3000.0,2000.0,1367519.8699767818,1949914.3470260617
4000.0,2000.0,162675.5448889928,352200.6861642278
5000.0,2000.0,50759.611159092005,143818.5689256062
6000.0,2000.0,15644.881701155566,47579.26688679308
7000.0,2000.0,7978.003803115804,32050.98704070598
8000.0,2000.0,6747.779701534659,30385.001187205315
10000.0,2000.0,2793.415472880006,18744.382758304477
11000.0,2000.0,1281.5541172027588,10174.69765663147
0.0,3000.0,346899.6412762329,0.0
1000.0,3000.0,6529520.099964835,1368319.8386955706
2000.0,3000.0,1.437418433226028E7,9055383.880677164
3000.0,3000.0,6241431.828843245,5783793.547442944
4000.0,3000.0,1065878.3558431575,1371907.6121723913
5000.0,3000.0,181567.73269713775,310976.56884886755
6000.0,3000.0,51807.89688059424,110731.88182113471
7000.0,3000.0,41116.6763900787,109394.10862578679
8000.0,3000.0,2434.5795437693596,7886.0723177194595
9000.0,3000.0,2873.4742791205645,8537.714951992035
10000.0,3000.0,2696.240856608376,9517.686512291431
13000.0,3000.0,2699.5135847330093,12161.859802246094
0.0,4000.0,299864.37081299536,0.0
1000.0,4000.0,3196430.407249889,453853.7327492404
2000.0,4000.0,5675402.449291703,2669092.150176682
3000.0,4000.0,8391334.14147126,5921958.172704143
4000.0,4000.0,3342697.5894670347,3217251.2654405925
5000.0,4000.0,976777.6683579528,1215746.2422720632
6000.0,4000.0,277581.814363208,416281.79665694817
7000.0,4000.0,107422.89088704623,194601.83988031
8000.0,4000.0,28641.781589919592,62884.975659220625
9000.0,4000.0,21974.902675490826,50881.35052643344
10000.0,4000.0,3514.7612482346594,9581.644403845072
11000.0,4000.0,3596.72721452266,10191.56943488121
12000.0,4000.0,3477.1685162223876,11794.23428928852
14000.0,4000.0,3290.1461523622274,13767.079864233732
0.0,5000.0,169208.95508384705,0.0
1000.0,5000.0,1801374.4850153981,201738.2941369603
2000.0,5000.0,2466886.84051032,847024.0686397979
3000.0,5000.0,5532399.595145457,3194574.69265542
4000.0,5000.0,4447142.004514421,3436151.858054444
5000.0,5000.0,2040410.497697968,1989187.1959608626
6000.0,5000.0,701587.0224589969,848022.3473587125
7000.0,5000.0,285771.58244521316,399644.31689794007
8000.0,5000.0,127228.29536758497,201219.56881939218
9000.0,5000.0,32668.738138199173,59935.69923800133
10000.0,5000.0,13434.729270368814,28456.72133891657
11000.0,5000.0,13544.50781159848,30636.74938187003
12000.0,5000.0,12921.708168573678,34477.15769696236
13000.0,5000.0,8263.287374535576,24924.738383423537
14000.0,5000.0,4526.788837477565,13445.572501659393
16000.0,5000.0,4579.028624236584,15993.77231758833
0.0,6000.0,104798.4734851718,0.0
1000.0,6000.0,1206063.2875155632,103498.38880596848
2000.0,6000.0,1673753.2699856183,471565.1813723131
3000.0,6000.0,2686226.2975912075,1261917.3952524434
4000.0,6000.0,4610498.883438022,2924992.1136894203
5000.0,6000.0,2820627.718330292,2302777.0072426135
6000.0,6000.0,1353119.8694817538,1333235.8053425492
7000.0,6000.0,527293.169841811,610610.6761764492
8000.0,6000.0,224862.1381865778,307994.59089669393
9000.0,6000.0,93859.04168365989,142667.16524441028
10000.0,6000.0,32727.36790451035,55761.53532049805
11000.0,6000.0,21790.761173858307,42151.724162038416
12000.0,6000.0,5929.872117310762,11030.81385421753
13000.0,6000.0,5674.49435724318,12796.125022888184
14000.0,6000.0,17634.380453217775,40454.00063203275
15000.0,6000.0,16812.58474287018,42652.76599931717
17000.0,6000.0,5463.874796476215,16216.952037334442
20000.0,6000.0,5161.850532837212,19104.83655190468
21000.0,6000.0,5558.719325885177,20342.213671326637
0.0,7000.0,84495.37558228709,0.0
1000.0,7000.0,959774.4823000979,74175.63780100341
2000.0,7000.0,1097445.4791093208,252510.58213798772
3000.0,7000.0,1614917.712745419,637971.8367285557
4000.0,7000.0,2789904.7315056003,1563397.1140767008
5000.0,7000.0,2948053.506979013,2019905.4344768205
6000.0,7000.0,2024414.5210401705,1696273.5127311903
7000.0,7000.0,790729.9375981787,779450.6822632987
