country,area
United States of America,771728.5779
Colombia,1138153.658
Guyana,211659.2684
Ecuador,256407.6289
French Guiana,83342.33465
Paraguay,399374.9064
Suriname,145074.6171
Uruguay,177914.6107
Venezuela,912599.5466
Peru,1290970.004
Chile,757712.3514
Bolivia,1084540.355
Netherlands Antilles,819.7572691
Navassa Island,3.397565291
Puerto Rico,9093.267177
Palmyra Atoll,16.71834948
Midway Island,24.23780025
Kingman Reef,311.5886721
Johnston Atoll,5.81437922
Howland Island,0.514131928
Baker Island,1.063415328
Bird Island,0.9573175
Aruba,190.8638649
Pitcairn,66.24669726
Cayman Islands,264.6037938
Montserrat,99.46546461
Turks and Caicos islands,594.2216733
British Virgin Islands,189.1725753
Anguilla,90.78264521
Bermuda,63.22086207
United States Virgin Islands,414.5304645
Falkland Islands (Malvinas),12515.31773
South Georgia and the South Sandwich Islands,3902.328691
Argentina,2780827.362
Heard Island and McDonald Islands,424.7454818
Bouvet Island,40.5431844
Antarctica,1.25E+07
