country,UrbanLand2020,TotalLandArea
Canada,619.3647059,3140925
Canada,0,3371872
Canada,4.635294118,1036606
United States of America,40173.26667,8984337
United States of America,40466.47451,3014778
United States of America,5636.27451,267538
Japan,32297.01176,486545
Russian Federation,49193.28627,36436360
Cook Islands,0,562
Niue,0,320
Northern Mariana Islands,6.537254902,714
Wake Island,0,24
Jarvis Island,0,11
New Caledonia,56.60392157,22020
Tokelau,0,103
Guam,34.30196078,662
American Samoa,39.92156863,316
Kuril islands,4.384313725,7899
Martinique,120.7529412,1346
Guadeloupe,148.8431373,2112
Clipperton Island,0,14
Dominica,8.949019608,875
Dominican Republic,1551.678431,52186
Antigua and Barbuda,14.19215686,611
Cuba,1665.254902,124848
Grenada,10.00784314,417
Jamaica,605.427451,12055
Saint Kitts and Nevis,11.36078431,344
Trinidad and Tobago,378.8196078,5639
Bahamas,115.0509804,19222
Saint Lucia,36.75294118,720
Saint Vincent and the Grenadines,16.05490196,639
Barbados,87.93333333,503
Haiti,2026.772549,29913
Panama,637.9098039,79522
El Salvador,970.0862745,21991
Nicaragua,780.1960784,133977
Mexico,22496.27843,2165140
Honduras,1466.831373,118467
Guatemala,2879.482353,115061
Costa Rica,958.5411765,53571
Belize,80.11372549,24163
United States of America,10643.21961,465381
United States of America,31039.97647,987875
Colombia,4937.556863,1155587
Guyana,185.3882353,215854
Ecuador,2254.654902,261283
French Guiana,67.33333333,84961
Paraguay,1222.188235,439157
Suriname,146.7803922,147732
Uruguay,836.0588235,213564
Venezuela,4770.901961,932166
Peru,3461.031373,1324944
Chile,3275.690196,1025792
Bolivia,1668.160784,1143798
Netherlands Antilles,125.1176471,1060
Navassa Island,0,10
Puerto Rico,836.1529412,10043
Palmyra Atoll,0,21
Midway Island,0,33
Kingman Reef,0,491
Johnston Atoll,0,13
Howland Island,0,7
Baker Island,0,6
Bird Island,0,2
Aruba,55.76470588,237
Pitcairn,0,101
Cayman Islands,4.533333333,410
Montserrat,0,132
Turks and Caicos islands,13.87843137,922
British Virgin Islands,8.721568627,354
Anguilla,11.30588235,145
Bermuda,9.870588235,139
United States Virgin Islands,29.07058824,592
Falkland Islands (Malvinas),0,23546
South Georgia and the South Sandwich Islands,0,7686
Argentina,9931.505882,3459950
Heard Island and McDonald Islands,0,790
Bouvet Island,0,98
Antarctica,0,71354739
