country,urban2020not2010,TotalLandArea
United States of America,296.2901961,267538
Japan,1318.968627,486545
Russian Federation,3562.313725,36436360
Cook Islands,0,562
Niue,0,320
Northern Mariana Islands,0,714
Wake Island,0,24
Jarvis Island,0,11
New Caledonia,19.60392157,22020
Tokelau,0,103
Guam,11.87058824,662
American Samoa,37.92156863,316
Kuril islands,0,7899
Martinique,4.678431373,1346
Guadeloupe,7.745098039,2112
Clipperton Island,0,14
Dominica,5.349019608,875
Dominican Republic,269.3843137,52186
Antigua and Barbuda,1,611
Cuba,75.87843137,124848
Grenada,1.050980392,417
Jamaica,54.11764706,12055
Saint Kitts and Nevis,0.992156863,344
Trinidad and Tobago,24.87843137,5639
Bahamas,10.51764706,19222
Saint Lucia,12.6,720
Saint Vincent and the Grenadines,0.639215686,639
Barbados,19.83921569,503
Haiti,731.1215686,29913
Panama,90.16862745,79522
El Salvador,137.5137255,21991
Nicaragua,127.6078431,133977
Mexico,3578.329412,2165140
Honduras,442.5254902,118467
Guatemala,836.745098,115061
Costa Rica,120.9568627,53571
Belize,27.45882353,24163
United States of America,1642.564706,465381
United States of America,3216.792157,987875
Colombia,610.454902,1155587
Guyana,11.96078431,215854
Ecuador,191.8352941,261283
French Guiana,25.97254902,84961
Paraguay,228.6627451,439157
Suriname,22.77254902,147732
Uruguay,41.2745098,213564
Venezuela,213.1294118,932166
Peru,324.5411765,1324944
Chile,321.8235294,1025792
Bolivia,235.4666667,1143798
Netherlands Antilles,37.19215686,1060
Navassa Island,0,10
Puerto Rico,110.8392157,10043
Palmyra Atoll,0,21
Midway Island,0,33
Kingman Reef,0,491
Johnston Atoll,0,13
Howland Island,0,7
Baker Island,0,6
Bird Island,0,2
Aruba,15.14901961,237
Pitcairn,0,101
Cayman Islands,1,410
Montserrat,0,132
Turks and Caicos islands,7.125490196,922
British Virgin Islands,1.725490196,354
Anguilla,11.30588235,145
Bermuda,0,139
United States Virgin Islands,0,592
Falkland Islands (Malvinas),0,23546
South Georgia and the South Sandwich Islands,0,7686
Argentina,963.1647059,3459950
Heard Island and McDonald Islands,0,790
Bouvet Island,0,98
Antarctica,0,71354739
