country,UrbanLand2020,TotalLandArea
Montenegro,376.6470588,19374
Serbia,4315.113725,124643
South Sudan,2837.396078,642378
Sudan,9710.980392,1936292
Taiwan,7282.776471,40528
Cocos (Keeling) Islands,0,73
Christmas Island,0,179
Ashmore and Cartier Islands,0,13
Faroe Islands,17.56470588,3770
Mayotte,104.6705882,539
Réunion,496.6156863,2831
Tromelin Island,0,5
Juan de Nova Island,0,14
Glorioso Island,0,17
Europa Island,0,52
Bassas da India,0,13
Saint Pierre et Miquelon,0,449
French Southern and Antarctic Territories,0,13814
Denmark,3914.92549,82958
The former Yugoslav Republic of Macedonia,987.627451,34578
Croatia,1897.65098,84060
Malta,217.9568627,501
San Marino,31.29803922,109
Slovenia,1131.501961,30045
Greece,2863.74902,179328
Italy,31472.73333,417503
Portugal,5379.772549,117126
Spain,17205.23529,668743
Bosnia and Herzegovina,1785.913725,72325
Andorra,46,713
Albania,1115.788235,38936
Monaco,8.639215686,23
Netherlands,11811.5098,59318
Luxembourg,436.8901961,4262
Liechtenstein,54.65490196,267
France,31837.54118,803884
Germany,55144.63529,573373
Switzerland,5938.85098,61397
Belgium,10561.58039,49225
Austria,4324.580392,126030
Australia,3137.54902,6329666
Palau,5.070588235,811
Canada,12100.65098,2612492
Canada,1266.737255,671902
Canada,310.5921569,239793
Mozambique,7559.039216,836165
Mauritius,637.1411765,2441
Malawi,15553.58431,124500
Rwanda,13823.56471,26096
Somalia,1674.164706,645049
Zambia,3821.698039,780663
Kenya,37919.3098,589417
Madagascar,6691.14902,634373
Seychelles,65.1254902,962
United Republic of Tanzania,22230.05882,956662
Uganda,40439.72941,244758
Zimbabwe,2770.94902,417287
Ethiopia,49538.7098,1154057
Eritrea,706.8,129006
Djibouti,135.3803922,22845
Comoros,248.6784314,1952
Burundi,11701.80784,27662
Gabon,585.3529412,268359
Equatorial Guinea,210.972549,27609
Chad,2796.952941,1325581
Sao Tome and Principe,65.81568627,1142
Congo,791.3333333,345915
Democratic Republic of the Congo,18614.62745,2360504
Cameroon,5569.160784,474407
Central African Republic,916.5843137,631154
Angola,4802.031373,1289947
Morocco,9503.470588,491734
Libya,3500.698039,1832847
Tunisia,4100.819608,190068
Egypt,31462.07059,1107423
Algeria,16459.18824,2640603
Namibia,522.5254902,898632
Swaziland,286.1215686,19722
Lesotho,841.9843137,35671
South Africa,24307.73333,1406879
Botswana,1434.411765,630231
Togo,2174.027451,58763
Sierra Leone,1275.890196,74843
Senegal,2893.227451,206145
Nigeria,58965.52549,932187
Niger,4050.039216,1250962
Mauritania,816.6745098,1117619
Mali,3094.34902,1325009
Liberia,853.8901961,98569
Guinea-Bissau,314.5176471,35524
Gambia,575.8941176,12024
Guinea,2076.843137,251997
Ghana,7906.662745,244375
Cape Verde,175.4980392,4829
Côte d'Ivoire,4655.470588,328939
Burkina Faso,4696.643137,283431
Benin,3771.415686,118952
Brazil,55715.90196,8795435
Turkmenistan,3463.917647,720650
Uzbekistan,22494.24706,607812
Tajikistan,5796.007843,184351
Kyrgyzstan,3154.039216,268767
Kazakhstan,9754.47451,4260325
Mongolia,1065.109804,2293470
Republic of Korea,14853.61961,128536
Dem People's Rep of Korea,6765.666667,163263
China,763205.6588,11778413
Myanmar,14651.82745,730451
Cambodia,10106.10196,188985
Viet Nam,58094.63137,350541
Lao People's Democratic Republic,2393.258824,247267
Malaysia,12003.33333,338370
Thailand,27359.12941,543783
Brunei Darussalam,306.1647059,6339
Philippines,52222.39216,320120
Indonesia,115375.4627,1950906
Singapore,422.0509804,730
Timor-Leste,449.4039216,15735
Maldives,15.4745098,1857
Nepal,20571.41961,169822
Pakistan,121684.1098,914970
India,690692.1922,3245716
Iran  (Islamic Republic of),22251.91765,2009405
Sri Lanka,16503.84706,68407
Bhutan,196.3411765,43267
Bangladesh,103403.4392,157582
Afghanistan,15594.65882,778847
Oman,2052.596078,333696
Kuwait,857.4901961,20677
Lebanon,2813.317647,12674
Qatar,832.4666667,13306
Saudi Arabia,9977.831373,2129955
Turkey,20842.61961,1013854
Yemen,7234.517647,477186
Iraq,12704.8902,524129
Jordan,2631.345098,105608
Syrian Arab Republic,6508.458824,231855
Israel,2609.137255,25087
Georgia,1493.952941,95475
Cyprus,592.9137255,11781
Bahrain,278.2666667,921
Azerbaijan,4995.466667,218321
Armenia,1249.654902,39787
United Arab Emirates,2977.964706,80421
"Moldova, Republic of",1560.827451,50817
Hungary,5237.05098,138235
Poland,21641.54902,510056
Romania,7408.117647,343797
Ukraine,22357.4902,920766
Belarus,4290.894118,350969
Czech Republic,6098.227451,123272
Slovakia,2679.67451,75291
Bulgaria,2504.670588,153116
Norway,4541.85098,783279
Sweden,8268.921569,991564
Lithuania,1698.082353,115106
Latvia,1103.647059,119062
Ireland,2182.705882,120155
Iceland,302.345098,247308
U.K. of Great Britain and Northern Ireland,38391.05882,428546
Finland,5427.74902,789611
Estonia,821.0705882,89771
Svalbard and Jan Mayen Islands,0,335225
Madeira Islands,156.8941176,1133
Azores Islands,173.1333333,3456
British Indian Ocean Territory,0,237
Guernsey,69.78039216,205
Jersey,110.4,234
Isle of Man,46.45882353,1089
Holy See,0.635294118,2
Greenland,18.16470588,8290339
Western Sahara,122.8431373,298572
Gaza Strip,313.6627451,501
West Bank,39.94509804,176
West Bank,1251.815686,7109
Gibraltar,6.603921569,15
Saint Helena,0,587
Macau,11.76470588,37
Hong Kong,504.8862745,1558
Abyei,13.74509804,10339
Ilemi triangle,0,3358
Hala'ib triangle,0.019607843,19823
Ma'tan al-Sarra,0,2303
Paracel Islands,0,50
Senkaku Islands,0,21
Scarborough Reef,0,92
China/India,0,4564
Aksai Chin,0,38231
Spratly Islands,0,16
Jammu and Kashmir,15035.88235,228248
Arunachal Pradesh,338.8588235,78567
Norfolk Island,0,72
Wallis and Futuna,0,239
French Polynesia,134.427451,8802
New Zealand,3056.392157,371280
Australia,3840.596078,228334
Australia,8054.156863,2097260
Papua New Guinea,3356.854902,478221
Vanuatu,57.29803922,14592
Solomon Islands,68.4,33500
Fiji,382.4862745,21468
Marshall Islands,5.956862745,1949
Nauru,13.85882353,30
Micronesia (Federated States of),34.74117647,1871
Kiribati,13.36470588,2126
Samoa,120.8235294,3198
Tonga,40.54117647,1297
Tuvalu,1.77254902,207
Canada,0,54448
Canada,3089.796078,620620
Canada,386.9215686,4442029
Canada,3729,4977564
Canada,790.7764706,3140925
Canada,0,3371872
Canada,10.95686275,1036606
United States of America,57593.09804,8984337
United States of America,83738.56078,3014778
United States of America,15742.92157,267538
Japan,57707.02745,486545
Russian Federation,84900.38431,36436360
Cook Islands,0,562
Niue,0,320
Northern Mariana Islands,30.63529412,714
Wake Island,0,24
Jarvis Island,0,11
New Caledonia,87.55686275,22020
Tokelau,0,103
Guam,130.745098,662
American Samoa,39.92156863,316
Kuril islands,4.384313725,7899
Martinique,225.5294118,1346
Guadeloupe,351.8156863,2112
Clipperton Island,0,14
Dominica,15.97647059,875
Dominican Republic,3183.65098,52186
Antigua and Barbuda,73.70588235,611
Cuba,2793.596078,124848
Grenada,109.6862745,417
Jamaica,1093.27451,12055
Saint Kitts and Nevis,25.89803922,344
Trinidad and Tobago,844.572549,5639
Bahamas,225.0392157,19222
Saint Lucia,99.30196078,720
Saint Vincent and the Grenadines,63.85098039,639
Barbados,189.2705882,503
Haiti,6303.980392,29913
Panama,1089.396078,79522
El Salvador,2197.784314,21991
Nicaragua,1413.780392,133977
Mexico,35265.52157,2165140
Honduras,2224.870588,118467
Guatemala,7168.901961,115061
Costa Rica,1761.796078,53571
Belize,124.9215686,24163
United States of America,18872.81176,465381
United States of America,66013.10196,987875
Colombia,7935.184314,1155587
Guyana,347.3568627,215854
Ecuador,4231.231373,261283
French Guiana,111.345098,84961
Paraguay,2086.796078,439157
Suriname,335.2666667,147732
Uruguay,1339.592157,213564
Venezuela,7401.796078,932166
Peru,5515.945098,1324944
Chile,5272.819608,1025792
Bolivia,2578.882353,1143798
Netherlands Antilles,180.8627451,1060
Navassa Island,0,10
Puerto Rico,2475.313725,10043
Palmyra Atoll,0,21
Midway Island,0,33
Kingman Reef,0,491
Johnston Atoll,0,13
Howland Island,0,7
Baker Island,0,6
Bird Island,0,2
Aruba,89.05098039,237
Pitcairn,0,101
Cayman Islands,56.25490196,410
Montserrat,0,132
Turks and Caicos islands,35.96862745,922
British Virgin Islands,15.30980392,354
Anguilla,11.30588235,145
Bermuda,60.68627451,139
United States Virgin Islands,93.8745098,592
Falkland Islands (Malvinas),0,23546
South Georgia and the South Sandwich Islands,0,7686
Argentina,14809.36078,3459950
Heard Island and McDonald Islands,0,790
Bouvet Island,0,98
Antarctica,0,71354739
