country,urban2020not2010,TotalLandArea
Montenegro,46.05490196,19374
Serbia,274,124643
South Sudan,1326.231373,642378
Sudan,3368.988235,1936292
Taiwan,263.6196078,40528
Cocos (Keeling) Islands,0,73
Christmas Island,0,179
Ashmore and Cartier Islands,0,13
Faroe Islands,0,3770
Mayotte,31.25490196,539
Réunion,27.1254902,2831
Tromelin Island,0,5
Juan de Nova Island,0,14
Glorioso Island,0,17
Europa Island,0,52
Bassas da India,0,13
Saint Pierre et Miquelon,0,449
French Southern and Antarctic Territories,0,13814
Denmark,159.2705882,82958
The former Yugoslav Republic of Macedonia,85,34578
Croatia,30.40784314,84060
Malta,26.91372549,501
San Marino,0,109
Slovenia,46,30045
Greece,48.81568627,179328
Italy,943.4,417503
Portugal,54.69411765,117126
Spain,751.6862745,668743
Bosnia and Herzegovina,54.90588235,72325
Andorra,2,713
Albania,122.0431373,38936
Monaco,1.262745098,23
Netherlands,542.6431373,59318
Luxembourg,57.84705882,4262
Liechtenstein,4,267
France,2397.090196,803884
Germany,1701.090196,573373
Switzerland,515.1254902,61397
Belgium,821.772549,49225
Austria,258.9803922,126030
Australia,191.4745098,6329666
Palau,0.129411765,811
Canada,421.572549,2612492
Canada,71.57254902,671902
Canada,7.058823529,239793
Mozambique,2592.231373,836165
Mauritius,35.35294118,2441
Malawi,5694.858824,124500
Rwanda,3744.631373,26096
Somalia,640.5333333,645049
Zambia,888.772549,780663
Kenya,9985.270588,589417
Madagascar,2432.313725,634373
Seychelles,8.662745098,962
United Republic of Tanzania,8594.058824,956662
Uganda,18913.0902,244758
Zimbabwe,520.0235294,417287
Ethiopia,33100.26275,1154057
Eritrea,287.027451,129006
Djibouti,26.37254902,22845
Comoros,56.90588235,1952
Burundi,5274.603922,27662
Gabon,101.454902,268359
Equatorial Guinea,46.40784314,27609
Chad,1006.290196,1325581
Sao Tome and Principe,1,1142
Congo,132.8666667,345915
Democratic Republic of the Congo,5920.145098,2360504
Cameroon,1410.282353,474407
Central African Republic,159.054902,631154
Angola,1136.360784,1289947
Morocco,1015.341176,491734
Libya,251.1882353,1832847
Tunisia,339.0470588,190068
Egypt,6685.541176,1107423
Algeria,2477.376471,2640603
Namibia,61.02352941,898632
Swaziland,42.05882353,19722
Lesotho,178.7607843,35671
South Africa,1480.027451,1406879
Botswana,193.9647059,630231
Togo,540.8862745,58763
Sierra Leone,323.2666667,74843
Senegal,865.2588235,206145
Nigeria,15922.18039,932187
Niger,1867.490196,1250962
Mauritania,173.8392157,1117619
Mali,925.4627451,1325009
Liberia,127.0509804,98569
Guinea-Bissau,61.23137255,35524
Gambia,122.9921569,12024
Guinea,513.8980392,251997
Ghana,1285.737255,244375
Cape Verde,37.63529412,4829
Côte d'Ivoire,1128.247059,328939
Burkina Faso,1669.301961,283431
Benin,895.2431373,118952
Brazil,2528.364706,8795435
Turkmenistan,507.3843137,720650
Uzbekistan,2845.372549,607812
Tajikistan,1072.745098,184351
Kyrgyzstan,442.6901961,268767
Kazakhstan,842.0509804,4260325
Mongolia,105.5843137,2293470
Republic of Korea,1557.521569,128536
Dem People's Rep of Korea,1442.52549,163263
China,96241.58824,11778413
Myanmar,3121.384314,730451
Cambodia,1813.109804,188985
Viet Nam,7454.933333,350541
Lao People's Democratic Republic,624.4588235,247267
Malaysia,1230.709804,338370
Thailand,3772.329412,543783
Brunei Darussalam,32.18431373,6339
Philippines,9823.015686,320120
Indonesia,13640.23529,1950906
Singapore,3.615686275,730
Timor-Leste,159.9019608,15735
Maldives,3.11372549,1857
Nepal,3704.176471,169822
Pakistan,39240.46275,914970
India,186617.5373,3245716
Iran  (Islamic Republic of),2194.556863,2009405
Sri Lanka,2223.356863,68407
Bhutan,52.38039216,43267
Bangladesh,10119.61176,157582
Afghanistan,4097.572549,778847
Oman,560.7882353,333696
Kuwait,104.6156863,20677
Lebanon,518.2039216,12674
Qatar,229.4509804,13306
Saudi Arabia,1571.776471,2129955
Turkey,2405.533333,1013854
Yemen,1776.109804,477186
Iraq,2268.309804,524129
Jordan,478.1372549,105608
Syrian Arab Republic,339.9058824,231855
Israel,268.654902,25087
Georgia,71.24313725,95475
Cyprus,34.91764706,11781
Bahrain,14.85882353,921
Azerbaijan,483.3686275,218321
Armenia,53.54117647,39787
United Arab Emirates,399.7921569,80421
"Moldova, Republic of",13.69019608,50817
Hungary,203,138235
Poland,1589.282353,510056
Romania,331.8862745,343797
Ukraine,487.227451,920766
Belarus,77.89803922,350969
Czech Republic,531,123272
Slovakia,165.2352941,75291
Bulgaria,30,153116
Norway,332.6784314,783279
Sweden,588.4392157,991564
Lithuania,63,115106
Latvia,0,119062
Ireland,161.2392157,120155
Iceland,23.14901961,247308
U.K. of Great Britain and Northern Ireland,847.6078431,428546
Finland,265.5607843,789611
Estonia,51.16470588,89771
Svalbard and Jan Mayen Islands,0,335225
Madeira Islands,1,1133
Azores Islands,0,3456
British Indian Ocean Territory,0,237
Guernsey,1,205
Jersey,17.95294118,234
Isle of Man,6.015686275,1089
Holy See,0,2
Greenland,0,8290339
Western Sahara,9.941176471,298572
Gaza Strip,26.94901961,501
West Bank,2.82745098,176
West Bank,179.3333333,7109
Gibraltar,0,15
Saint Helena,0,587
Macau,0,37
Hong Kong,17.96078431,1558
Abyei,10.74509804,10339
Ilemi triangle,0,3358
Hala'ib triangle,0,19823
Ma'tan al-Sarra,0,2303
Paracel Islands,0,50
Senkaku Islands,0,21
Scarborough Reef,0,92
China/India,0,4564
Aksai Chin,0,38231
Spratly Islands,0,16
Jammu and Kashmir,3360.482353,228248
Arunachal Pradesh,93.50196078,78567
Norfolk Island,0,72
Wallis and Futuna,0,239
French Polynesia,28.92156863,8802
New Zealand,170.8509804,371280
Australia,198.8156863,228334
Australia,522.5529412,2097260
Papua New Guinea,1345.760784,478221
Vanuatu,10.75294118,14592
Solomon Islands,9.517647059,33500
Fiji,26.83921569,21468
Marshall Islands,0,1949
Nauru,2.058823529,30
Micronesia (Federated States of),0.925490196,1871
Kiribati,0.894117647,2126
Samoa,10,3198
Tonga,1,1297
Tuvalu,0.156862745,207
Canada,0,54448
Canada,231.0784314,620620
Canada,59,4442029
Canada,313,4977564
Canada,40,3140925
Canada,0,3371872
Canada,0,1036606
United States of America,2765.964706,8984337
United States of America,3780.639216,3014778
United States of America,696.054902,267538
Japan,672.4784314,486545
Russian Federation,3865.254902,36436360
Cook Islands,0,562
Niue,0,320
Northern Mariana Islands,0,714
Wake Island,0,24
Jarvis Island,0,11
New Caledonia,9.525490196,22020
Tokelau,0,103
Guam,12.87058824,662
American Samoa,0.274509804,316
Kuril islands,0,7899
Martinique,7.792156863,1346
Guadeloupe,11.6,2112
Clipperton Island,0,14
Dominica,5.349019608,875
Dominican Republic,968.7411765,52186
Antigua and Barbuda,7.984313725,611
Cuba,212.6470588,124848
Grenada,10.9372549,417
Jamaica,114.6470588,12055
Saint Kitts and Nevis,0.984313725,344
Trinidad and Tobago,100.1960784,5639
Bahamas,15.17647059,19222
Saint Lucia,9.274509804,720
Saint Vincent and the Grenadines,2.729411765,639
Barbados,42.55686275,503
Haiti,1775.768627,29913
Panama,172.6392157,79522
El Salvador,432.4,21991
Nicaragua,310.6941176,133977
Mexico,5280.12549,2165140
Honduras,655.4431373,118467
Guatemala,2183.12549,115061
Costa Rica,269.0470588,53571
Belize,25.35686275,24163
United States of America,1175.678431,465381
United States of America,3223.45098,987875
Colombia,879.0235294,1155587
Guyana,22.01176471,215854
Ecuador,354.9647059,261283
French Guiana,20.86666667,84961
Paraguay,300.0156863,439157
Suriname,81.29019608,147732
Uruguay,43.29803922,213564
Venezuela,241.545098,932166
Peru,454.1764706,1324944
Chile,425.7137255,1025792
Bolivia,279.2823529,1143798
Netherlands Antilles,10.64313725,1060
Navassa Island,0,10
Puerto Rico,17.8627451,10043
Palmyra Atoll,0,21
Midway Island,0,33
Kingman Reef,0,491
Johnston Atoll,0,13
Howland Island,0,7
Baker Island,0,6
Bird Island,0,2
Aruba,7.623529412,237
Pitcairn,0,101
Cayman Islands,2.843137255,410
Montserrat,0,132
Turks and Caicos islands,21.85490196,922
British Virgin Islands,2.545098039,354
Anguilla,11.30588235,145
Bermuda,1.745098039,139
United States Virgin Islands,3.764705882,592
Falkland Islands (Malvinas),0,23546
South Georgia and the South Sandwich Islands,0,7686
Argentina,985.1607843,3459950
Heard Island and McDonald Islands,0,790
Bouvet Island,0,98
Antarctica,0,71354739
