,Category,Count,Population2000,popChangein2000_2020,UrbanPopulation2000,urbanPopChange2000_2020,UrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2020
0,East Asia & Pacific,22,2076547936,749107508,1204965470,263515111,189892610,53174792
1,Europe & Central Asia,15,292937399,73977416,182026946,36609111,22310338,5951267
2,Latin America & Caribbean,23,522150328,164471224,361466525,106024047,36156049,5434361
3,Middle East & North Africa,13,333969933,166275402,238212507,132781833,43681821,3950609
4,South Asia,8,1526873132,719666348,861457745,308596039,187835084,39271647
5,Sub-Saharan Africa,43,666836245,593612615,353958420,272558358,134222694,14933876
6,Low income,26,403247245,364375829,218570533,155430701,82220211,10589985
7,Lower middle income,46,2243899947,1158896779,1280507499,550660853,297628259,54868620
8,Upper middle income,51,2747412671,938266567,1683186337,410456660,232679252,57087624
