,Category,Count,Population2010,popChangein2010_2030,UrbanPopulation2010,urbanPopChange2010_2030,UrbanPopulation_20YearLag2030,NonUrbanPopulation_20YearLag2030
0,East Asia & Pacific,22,2252829239,609314802,1342753102,167990269,126573598,56301656
1,Europe & Central Asia,15,306373823,63316081,197460659,27886684,15639565,5640346
2,Latin America & Caribbean,23,591319967,135477845,420080220,83404907,25380660,4864210
3,Middle East & North Africa,13,403040156,164154118,301119279,132961632,30660779,3893788
4,South Asia,8,1804311944,702424416,1053049062,269242708,185833319,42463100
5,Sub-Saharan Africa,43,873333400,692255363,480031148,340912238,124681732,19217651
6,Low income,26,537037000,438991683,297482327,201680211,86541191,13886072
7,Lower middle income,46,2677163881,1166469562,1581448481,539339906,276864982,58672945
8,Upper middle income,51,2987911301,757196755,1891874155,278694608,144611610,59719128
