,Category,Count,Population2010,popChangein2010_2020,c3UrbanPopChange_2010_2020,c2UrbanPopChange_2010_2020,c1UrbanPopChange_2010_2020
0,East Asia & Pacific,22,2252829239,395939425,187562587,30797816,3915891
1,Europe & Central Asia,15,306373823,38234985,22778923,2462488,276648
2,Latin America & Caribbean,23,591319967,81758169,46571795,3953897,578863
3,Middle East & North Africa,13,403040156,90642111,62864740,6281220,469934
4,South Asia,8,1804311944,413452962,130877228,36793336,5659513
5,Sub-Saharan Africa,43,873333400,360606910,130125248,29352605,3543130
6,Low income,26,537037000,227372471,74214574,22307563,2806626
7,Lower middle income,46,2677163881,659508562,243902379,53670976,7602015
8,Upper middle income,51,2987911301,492109969,261531187,33596492,4028813
