,Category,Count,Population2010,popChangein2010_2030,c3UrbanPopChange_2010_2030,c2UrbanPopChange_2010_2030,c1UrbanPopChange_2010_2030
0,East Asia & Pacific,22,2252829239,609314802,278965951,58386692,8846740
1,Europe & Central Asia,15,306373823,63316081,34677279,5307994,681308
2,Latin America & Caribbean,23,591319967,135477845,75059760,9559977,1163165
3,Middle East & North Africa,13,403040156,164154118,112726707,14282845,950766
4,South Asia,8,1804311944,702424416,228361496,86081591,10789523
5,Sub-Saharan Africa,43,873333400,692255363,266112432,73604541,7415470
6,Low income,26,537037000,438991683,156134722,54611478,5608144
7,Lower middle income,46,2677163881,1166469562,445180486,130982760,15451542
8,Upper middle income,51,2987911301,757196755,391773350,61406851,8768180
