bin1980,bin2020,pop2020_sum,pop1980_sum
0.0,0.0,0.0,0.0
1000.0,0.0,0.0,1447.7532568086303
0.0,1000.0,2.185022391529911E7,0.0
1000.0,1000.0,5.075940020657933E8,2.298257472868316E8
2000.0,1000.0,5772132.809376465,1.0724638607740989E7
3000.0,1000.0,320160.7457077536,1550903.8845709604
4000.0,1000.0,74499.16496933247,755078.8138674723
5000.0,1000.0,36893.98407318734,539974.9319957994
6000.0,1000.0,18740.30974237387,404428.5886771591
7000.0,1000.0,13884.915890596574,320388.33439591527
8000.0,1000.0,10889.35206498485,262333.17410087585
9000.0,1000.0,4989.143890598789,204455.9482268989
10000.0,1000.0,8416.367841241416,265985.1083881706
11000.0,1000.0,3063.24402999226,94417.15962439775
12000.0,1000.0,1090.1098369713873,116288.14129209518
13000.0,1000.0,2501.033852599561,110883.30806225538
14000.0,1000.0,1125.1272989492863,67287.78795814514
15000.0,1000.0,1036.5297084394842,71648.79453936219
16000.0,1000.0,2773.355123884976,92541.37044793367
17000.0,1000.0,688.0823817458004,49760.517234802246
18000.0,1000.0,1695.184859183617,103785.69533285499
20000.0,1000.0,42.50322321802378,19959.98868751526
21000.0,1000.0,1389.8680589478463,101631.78545475006
22000.0,1000.0,390.68984943442047,42548.01237106323
23000.0,1000.0,914.5556314792484,45365.793833732605
24000.0,1000.0,805.5287009458989,46935.44455528259
27000.0,1000.0,484.6363985128701,26690.40773677826
31000.0,1000.0,2295.9924187250435,346629.21726226807
0.0,2000.0,3961817.446267096,0.0
1000.0,2000.0,2.387350610568635E8,7.501626692272784E7
2000.0,2000.0,4.460047289110151E7,3.804800767264078E7
3000.0,2000.0,4287862.677575718,6242376.248536486
4000.0,2000.0,634098.6374812417,1295503.6772243145
5000.0,2000.0,160830.16750949994,430949.75454967655
6000.0,2000.0,38383.02415714452,136136.16390075735
7000.0,2000.0,37838.22765600961,146464.37466766685
8000.0,2000.0,13549.37908952171,59314.531633004546
9000.0,2000.0,3652.2239949442446,25048.506545484066
10000.0,2000.0,6766.686670910567,38396.081110961735
11000.0,2000.0,3478.705963421613,20711.801018003374
12000.0,2000.0,4981.229256168008,34267.88451611996
13000.0,2000.0,1651.6241632923484,12893.054053783417
27000.0,2000.0,1221.776914701797,26181.847993850708
31000.0,2000.0,1417.9717302890494,37204.32082080841
0.0,3000.0,963962.0544460524,0.0
1000.0,3000.0,7.472068940720169E7,1.6168378323534714E7
2000.0,3000.0,5.490173063898824E7,3.202764834075533E7
3000.0,3000.0,1.5510855909775767E7,1.4557962318538E7
4000.0,3000.0,3153833.912938159,4102656.2940122406
5000.0,3000.0,773865.4650504261,1329832.588262123
6000.0,3000.0,303387.1315817854,640062.0811722174
7000.0,3000.0,87272.31124010726,220868.05872337025
8000.0,3000.0,38983.553232003,110350.07577858865
9000.0,3000.0,22338.190201954916,76648.56777100265
10000.0,3000.0,4719.164276747033,18551.28062415123
11000.0,3000.0,5682.2391719755005,20238.6518032074
12000.0,3000.0,5587.653940998018,23099.82400035858
13000.0,3000.0,2081.373725399375,12468.97127777338
14000.0,3000.0,2839.6087748259306,13229.503494024277
0.0,4000.0,383127.641264447,0.0
1000.0,4000.0,2.9647299978158597E7,4292609.223212024
2000.0,4000.0,2.985975439284577E7,1.3094003718298946E7
3000.0,4000.0,1.973973477059716E7,1.3826453567186445E7
4000.0,4000.0,7538905.722683746,7304060.922696879
5000.0,4000.0,2283285.7173704603,2829212.9386083055
6000.0,4000.0,794999.4152467747,1215455.137959734
7000.0,4000.0,298121.8685884876,539858.5609353147
8000.0,4000.0,146213.1143058017,304455.6812690124
9000.0,4000.0,64911.07203287445,152187.80241529644
10000.0,4000.0,32944.25882966537,84967.20413139462
11000.0,4000.0,25637.177837349474,75453.2304816544
12000.0,4000.0,12842.81687347268,43768.11544815138
13000.0,4000.0,6791.156978234649,25038.89302253723
14000.0,4000.0,7219.27287953347,26720.14967107773
15000.0,4000.0,3956.564391259104,14421.410947650671
18000.0,4000.0,3903.7579395771027,17786.54894375801
20000.0,4000.0,3125.161718070507,19943.61676120758
24000.0,4000.0,6377.8347990904,46719.40551048517
27000.0,4000.0,3894.9589212350547,26091.60040473938
0.0,5000.0,180694.7057961002,0.0
1000.0,5000.0,1.6742986781716969E7,1755634.1183905066
2000.0,5000.0,1.5769933390293986E7,5328536.1236308
3000.0,5000.0,1.5517118312370453E7,8657892.866835538
4000.0,5000.0,9376875.03328826,7179613.263336319
5000.0,5000.0,4420383.459476258,4344533.084144914
6000.0,5000.0,1882606.9016469864,2237491.0698278816
7000.0,5000.0,755035.7610614793,1075393.1940606933
8000.0,5000.0,243494.4274851451,396201.9710402999
9000.0,5000.0,209275.56265558768,389874.247461915
10000.0,5000.0,73019.9182884302,151393.9507445395
11000.0,5000.0,96342.10667994618,218965.9975302443
12000.0,5000.0,22504.94076191634,57453.29909688234
13000.0,5000.0,27268.51859659329,74984.61544281244
14000.0,5000.0,13579.72809785232,39973.363961040974
16000.0,5000.0,17544.637218561023,62942.42328283191
22000.0,5000.0,4709.055856838822,21111.480175495148
0.0,6000.0,103383.04870258458,0.0
1000.0,6000.0,1.1608047921792384E7,968868.3840922493
2000.0,6000.0,9425589.477907808,2583767.883901759
3000.0,6000.0,9526773.245103156,4406040.378201553
4000.0,6000.0,8471723.728631336,5394991.12929875
5000.0,6000.0,5300598.777819245,4294093.627515286
6000.0,6000.0,2922574.506573745,2887035.9306441536
7000.0,6000.0,1265147.9206013181,1469208.9218765905
8000.0,6000.0,586030.581926806,788766.272388084
9000.0,6000.0,381181.935410903,584064.4617530375
10000.0,6000.0,216761.84615701064,364960.0110680759
11000.0,6000.0,157851.91827990138,301625.7166409814
12000.0,6000.0,38151.61549694091,81121.37592732906
13000.0,6000.0,43000.97887130082,98608.55828490853
14000.0,6000.0,27604.18019306287,68044.57470196486
15000.0,6000.0,38472.222031580284,100492.4517005086
16000.0,6000.0,5385.641158103943,15148.403895497322
17000.0,6000.0,5430.721091311425,16919.300346136093
18000.0,6000.0,5383.055813670158,17222.248344421387
20000.0,6000.0,5281.05369861424,19396.326674371958
21000.0,6000.0,5973.325794517994,20039.599205493927
22000.0,6000.0,5721.884264938533,21768.879631727934
25000.0,6000.0,5659.754825204611,24888.41176509857
31000.0,6000.0,5313.808208554983,30756.056736946106
0.0,7000.0,96341.32119740173,0.0
1000.0,7000.0,8509000.270072084,613048.5510181128
2000.0,7000.0,6890830.021570185,1607086.7474149615
3000.0,7000.0,6275958.104104948,2451009.6157174027
4000.0,7000.0,6681764.978102992,3609599.2158523207
5000.0,7000.0,5151384.5642984295,3552692.202406928
6000.0,7000.0,3293121.185627981,2759728.241343104
7000.0,7000.0,2206571.555271082,2180330.1034668866
8000.0,7000.0,1136593.2329883287,1303005.6026997103
9000.0,7000.0,564054.1687877905,737046.3978598146
10000.0,7000.0,298765.44158132654,436633.7044581426
11000.0,7000.0,131782.83428206947,208544.304313533
12000.0,7000.0,110450.51013704868,195140.79262246145
13000.0,7000.0,57705.11832215078,113223.97666446865
14000.0,7000.0,32478.43538445793,67368.24223996699
15000.0,7000.0,44763.815694227815,100976.28266371787
16000.0,7000.0,19158.537698235363,46332.02098061144
17000.0,7000.0,6249.914211891592,16122.687170267105
18000.0,7000.0,13240.580433830619,35100.20844852924
19000.0,7000.0,19539.789607927203,55944.20292663574
21000.0,7000.0,6930.444526910782,20516.653851032257
24000.0,7000.0,6532.409542389214,23448.63828086853
31000.0,7000.0,6740.88551685214,35334.38679122925
0.0,8000.0,52010.941118028015,0.0
1000.0,8000.0,6347309.174703865,398361.72321548645
2000.0,8000.0,5159724.299865807,1024114.3582587917
3000.0,8000.0,4842284.5585166365,1628951.5607131554
4000.0,8000.0,5074639.487743764,2363064.963091332
5000.0,8000.0,4598361.191893361,2773347.1556765707
6000.0,8000.0,3839749.2176564056,2808011.8453605156
