bin2000,bin2020,pop2020_sum,pop2000_sum
0.0,0.0,0.0,0.0
1000.0,0.0,0.0,72191.30811484782
2000.0,0.0,0.0,1431.679573059082
4000.0,0.0,0.0,3885.105049133301
0.0,1000.0,5154244.525429382,0.0
1000.0,1000.0,6.39084660014153E8,5.408581545951376E8
2000.0,1000.0,3.1034000974803336E7,4.7382663874078535E7
3000.0,1000.0,858296.2759774828,2858938.3894619695
4000.0,1000.0,144625.85398548894,808887.7966641097
5000.0,1000.0,46988.63720566881,441202.2919456709
6000.0,1000.0,24913.206477486587,332378.01177812275
7000.0,1000.0,15667.932085323147,225235.232961718
8000.0,1000.0,11168.943299769424,186521.01731493417
9000.0,1000.0,10640.557468497194,189440.789792791
10000.0,1000.0,11135.765234358609,187577.5550891757
11000.0,1000.0,6323.6438216697425,115174.8512019068
12000.0,1000.0,9127.89637519233,150384.1513015926
13000.0,1000.0,2421.0015257932246,36838.064814925194
14000.0,1000.0,4722.621264766902,80541.47153477371
15000.0,1000.0,3608.770018476993,72599.14849595726
16000.0,1000.0,1667.4504896719009,31352.627866715193
17000.0,1000.0,3536.1685431151013,85921.57615420118
18000.0,1000.0,1826.5400817776099,51669.90281915665
19000.0,1000.0,504.51941330358386,18196.622834444046
20000.0,1000.0,630.5570968538523,19940.275210142136
21000.0,1000.0,590.505269408226,20930.4511449337
28000.0,1000.0,600.8547625541687,27833.682739257812
30000.0,1000.0,952.703949443996,29836.994605630636
0.0,2000.0,785145.4372871433,0.0
1000.0,2000.0,1.025805363818105E8,4.969986276617831E7
2000.0,2000.0,1.7177232666601974E8,1.7017779114139563E8
3000.0,2000.0,2.8549144701198645E7,3.9623607838472076E7
4000.0,2000.0,2997163.239628805,6094413.446196251
5000.0,2000.0,648599.0026216483,1743477.2109480705
6000.0,2000.0,211410.3727176725,701636.5088242529
7000.0,2000.0,63247.7925909608,257893.98422751718
8000.0,2000.0,39606.46902455003,179498.63809431973
9000.0,2000.0,7183.999928585254,41916.36849980429
10000.0,2000.0,7421.840242238657,41125.350403284414
11000.0,2000.0,3826.1176882181317,30958.30244809389
12000.0,2000.0,8378.479903800413,57839.03079341352
13000.0,2000.0,1731.5624844767153,12858.657465159893
14000.0,2000.0,1324.9062078986317,13267.705856025219
15000.0,2000.0,4523.796533757821,44624.40354768932
16000.0,2000.0,2907.9887198787183,31323.999632894993
17000.0,2000.0,3784.783940200694,50400.61364406347
18000.0,2000.0,5687.724993296899,87359.01782265306
19000.0,2000.0,2456.5775596108288,37013.53666009009
20000.0,2000.0,4106.379907408729,59398.450718417764
21000.0,2000.0,1459.9327423982322,20072.88951535523
22000.0,2000.0,1472.5320907309651,21221.787551879883
23000.0,2000.0,1449.0398995131254,22023.981455922127
24000.0,2000.0,1622.050858400762,23004.736584186554
25000.0,2000.0,1479.7891219574958,24721.25937795639
26000.0,2000.0,3298.27254085429,50624.24969728291
27000.0,2000.0,1894.1311931200325,26916.217030525208
29000.0,2000.0,3276.9594105556607,57420.027065217495
30000.0,2000.0,1025.8696118183434,29170.972255170345
31000.0,2000.0,3380.6477205920964,66220.03748694062
0.0,3000.0,358404.93635918334,0.0
1000.0,3000.0,2.4318908464653138E7,5322494.233822872
2000.0,3000.0,5.823853177816826E7,3.880567339687761E7
3000.0,3000.0,7.782841052666964E7,7.789269858274911E7
4000.0,3000.0,2.3256451777159575E7,3.0104301926172115E7
5000.0,3000.0,4890217.730507262,8259390.769780979
6000.0,3000.0,1352065.4913442857,2785648.2029828643
7000.0,3000.0,444540.9734856713,1087011.47937052
8000.0,3000.0,200010.13636631126,571802.329313162
9000.0,3000.0,87105.22850284647,288101.4467108322
10000.0,3000.0,48335.014134739526,180316.56849848852
11000.0,3000.0,26976.515315318444,106770.29724518213
12000.0,3000.0,10163.919944546185,46786.20049098041
13000.0,3000.0,8307.668346492574,36615.03539787326
17000.0,3000.0,4303.401969373575,32966.0440057721
18000.0,3000.0,5126.013953299262,35124.24747556448
20000.0,3000.0,2149.3976480122656,19213.741137087345
24000.0,3000.0,2652.840437479317,23912.84376013279
28000.0,3000.0,2307.663574039936,27167.74031549692
31000.0,3000.0,20310.648154122755,315512.8576744944
0.0,4000.0,242808.58114358503,0.0
1000.0,4000.0,1.1504711481502904E7,1668923.4051562287
2000.0,4000.0,1.8545581450375255E7,8552577.656291269
3000.0,4000.0,3.728042411581133E7,2.7804478117588066E7
4000.0,4000.0,4.3407338691145465E7,4.358434221553833E7
5000.0,4000.0,1.8802545955466818E7,2.3165900686476067E7
6000.0,4000.0,5235300.823690791,7942412.232774931
7000.0,4000.0,2031203.8883535594,3640869.3513812493
8000.0,4000.0,855463.3837871467,1756622.2682040865
9000.0,4000.0,375730.95340283425,884699.0256485594
10000.0,4000.0,216284.70361462928,565683.7253855376
11000.0,4000.0,119875.2970184438,341421.4899289377
12000.0,4000.0,55700.58709686622,183416.6257705465
13000.0,4000.0,38343.99625925087,130209.8848714158
14000.0,4000.0,28446.9554942064,107347.49559514225
15000.0,4000.0,10793.98541120626,43524.57370647788
16000.0,4000.0,7162.196576935239,31094.840317614377
17000.0,4000.0,3321.7997964955866,16012.483507156372
20000.0,4000.0,3665.3738292194903,19200.57594128698
21000.0,4000.0,3397.516620868817,20578.350159466267
24000.0,4000.0,3225.578981310129,23799.08862054348
26000.0,4000.0,3704.764724776149,25664.14155739546
31000.0,4000.0,24532.51961218845,387454.33611376584
0.0,5000.0,220808.33229029406,0.0
1000.0,5000.0,6229947.965214471,677000.9398100183
2000.0,5000.0,8916030.880240757,3110693.6823352138
3000.0,5000.0,1.6989477262964938E7,9820358.202787653
4000.0,5000.0,2.4106256924800925E7,1.919158187899147E7
5000.0,5000.0,2.7235743898219176E7,2.7307236332236886E7
6000.0,5000.0,1.470447027710173E7,1.758848011235175E7
7000.0,5000.0,5649220.234922189,7941286.919944849
8000.0,5000.0,2138562.309007231,3475375.3532398413
9000.0,5000.0,1090990.878517096,2023012.988618997
10000.0,5000.0,491833.9903341178,1029482.3883740715
11000.0,5000.0,300406.861950662,675407.6291353949
12000.0,5000.0,190878.92390976602,480875.7994415974
13000.0,5000.0,59206.7705464107,161446.12560920743
14000.0,5000.0,75846.49935103218,226711.5254392171
15000.0,5000.0,18574.346803465858,57830.3725849241
16000.0,5000.0,14396.796769740817,47683.68465462042
17000.0,5000.0,8935.132034279406,32572.430499508977
18000.0,5000.0,18091.87116129417,70803.94563425891
20000.0,5000.0,4534.168466132134,19966.24024038762
21000.0,5000.0,9013.655656088144,41062.82333576679
24000.0,5000.0,4611.321394652128,23636.72969338298
25000.0,5000.0,8885.143235014752,48776.28088006377
31000.0,5000.0,8671.29460689053,133089.9822192788
0.0,6000.0,126569.79724482726,0.0
1000.0,6000.0,3657081.004887331,328768.072973154
2000.0,6000.0,4951335.593542537,1398035.300299936
3000.0,6000.0,8277662.9494236,3896414.12712434
4000.0,6000.0,1.382017932457708E7,8934522.820768934
5000.0,6000.0,1.703743451948224E7,1.4186099570321752E7
6000.0,6000.0,1.8711501467622235E7,1.8718387857411686E7
7000.0,6000.0,1.1259870843623752E7,1.3133264142296633E7
8000.0,6000.0,5203222.539713318,6955882.7074384885
9000.0,6000.0,2242640.65286708,3434617.5919083236
10000.0,6000.0,1267016.9672079156,2156498.7500516493
11000.0,6000.0,692376.4052295161,1294602.4691101394
12000.0,6000.0,251720.89938402333,515792.1625239831
13000.0,6000.0,190297.39025638998,422132.6134642847
14000.0,6000.0,136576.96027742667,337045.6703993656
15000.0,6000.0,66994.26765353046,173864.7527598031
16000.0,6000.0,39333.076124938205,109369.6294497624
17000.0,6000.0,27291.194282985292,82178.60926778987
18000.0,6000.0,33329.05469533242,105367.2036768347
20000.0,6000.0,5501.718399401754,19654.944377586246
22000.0,6000.0,5689.61101564765,21553.621788278222
0.0,7000.0,51761.4898826493,0.0
1000.0,7000.0,2374425.015597895,181383.68246448698
2000.0,7000.0,2863861.2987257303,679838.683539594
3000.0,7000.0,4450640.72073126,1739523.5971744072
4000.0,7000.0,8117167.256535933,4484863.655318877
5000.0,7000.0,1.1050602109019842E7,7717339.289098313
6000.0,7000.0,1.3717268588256964E7,1.1755726915654806E7
7000.0,7000.0,1.3955395338413851E7,1.4015339470557457E7
8000.0,7000.0,9182720.875175456,1.048094426376679E7
