,Category,Count,Population2000,popChangein2000_2020,c3UrbanPopChange_2000_2020,c2UrbanPopChange_2000_2020,c1UrbanPopChange_2000_2020
0,East Asia & Pacific,22,2076547936,749107508,327962203,327962203,9937221
1,Europe & Central Asia,15,292937399,73977416,39536122,39536122,710175
2,Latin America & Caribbean,23,522150328,164471224,92265092,92265092,1465912
3,Middle East & North Africa,13,333969933,166275402,104178552,104178552,1006326
4,South Asia,8,1526873132,719666348,245623275,245623275,10128092
5,Sub-Saharan Africa,43,666836245,593612615,192200704,192200704,5950415
6,Low income,26,403247245,364375829,110779827,110779827,4152223
7,Lower middle income,46,2243899947,1158896779,426935220,426935220,15173828
8,Upper middle income,51,2747412671,938266567,460681057,460681057,9833629
