,Category,Count,Population2000,popChangein2000_2020,c3UrbanPopChange_2000_2020,c2UrbanPopChange_2000_2020,c1UrbanPopChange_2000_2020
0,East Asia & Pacific,22,2076547936,749107508,499111924,105185133,3748993
1,Europe & Central Asia,15,292937399,73977416,54296891,6386536,112163
2,Latin America & Caribbean,23,522150328,164471224,113743031,13072621,128668
3,Middle East & North Africa,13,333969933,166275402,131852376,15558898,53020
4,South Asia,8,1526873132,719666348,426732736,168861078,1125180
5,Sub-Saharan Africa,43,666836245,593612615,259253605,121246753,552126
6,Low income,26,403247245,364375829,146592303,86943429,280789
7,Lower middle income,46,2243899947,1158896779,682421247,233172371,1681241
8,Upper middle income,51,2747412671,938266567,651527613,109779985,3757441
