,Category,Count,Population2020,popChangein2020_2030,UrbanPopulation2020,urbanPopChange2020_2030,UrbanPopulation_10YearLag2030,NonUrbanPopulation_10YearLag2030
0,East Asia & Pacific,38,2708440372,285567054,1700954383,39214928,53678794,36789532
1,Europe & Central Asia,52,1352546981,74012332,838495326,3251337,14999832,12106408
2,Latin America & Caribbean,37,691304291,64192236,494321493,37091092,10107717,2758901
3,Middle East & North Africa,21,556547245,89625633,430208129,69831786,12684689,2604114
4,North America,3,482277686,35729966,265598492,23365131,12140055,3838368
5,South Asia,8,2046947668,338271547,1170053784,152237986,91375670,23756881
6,Sub-Saharan Africa,44,1142832384,357663740,626550122,194437219,58493427,18523356
7,High income,79,1908853592,105491935,1204009617,24709683,25092721,14173271
8,Low income,26,698043642,231061347,374001234,125161304,42222944,13712626
9,Lower middle income,46,3113313604,574417829,1831168352,289620035,130717401,35810984
10,Upper middle income,51,3231828171,330448453,2093642997,76925766,54944786,36626980
