,Category,Count,Population2010,popChangein2010_2020,UrbanPopulation2010,urbanPopChange2010_2020,UrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2020
0,East Asia & Pacific,38,2536395794,417181670,1567566817,133387566,87682638,40525249
1,Europe & Central Asia,52,1307420098,103107501,797270883,41224443,24329493,11150005
2,Latin America & Caribbean,37,626465885,86529192,444207568,50113925,15545713,3722447
3,Middle East & North Africa,21,462544746,109619216,347858726,82349403,20841245,3634557
4,North America,3,445623313,43435105,232395041,33203451,15882933,4427361
5,South Asia,8,1804311944,413452962,1053049062,117004722,98832810,34818345
6,Sub-Saharan Africa,44,873423197,360619686,480049028,146501094,62166350,13425074
7,High income,79,1824976448,153310770,1127903655,76105962,39664202,15088430
8,Low income,26,537037000,227372471,297482327,76518907,42695900,10272166
9,Lower middle income,46,2677163881,659508562,1581448481,249719871,145589311,45355968
10,Upper middle income,51,2987911301,492109969,1891874155,201768842,97049529,40861917
