,Category,Count,Population2010,popChangein2020,UrbanPopulation2010,urbanPopChange,UrbanPopulation_10YearLag2020
0,East Asia & Pacific,22,2252829239,164396589,1342753102,125727479,83154280
1,Europe & Central Asia,15,306373823,23327917,197460659,21175398,9477714
2,Latin America & Caribbean,23,591319967,61543999,420080220,47410352,14708433
3,Middle East & North Africa,13,403040156,79533614,301119279,69875061,17290235
4,South Asia,8,1804311944,242635724,1053049062,117004722,98832810
5,Sub-Saharan Africa,43,873333400,269396663,480031148,146485630,62153508
6,Low income,26,537037000,161006642,297482327,76518907,42695900
7,Lower middle income,46,2677163881,436149723,1581448481,249719871,145589311
8,Upper middle income,51,2987911301,243916870,1891874155,201768842,97049529
