,Category,Count,Population2020,popChangein2030,UrbanPopulation2020,urbanPopChange,UrbanPopulation_10YearLag2030
0,East Asia & Pacific,22,2417225828,45453803,1468480581,42262790,51228327
1,Europe & Central Asia,15,329701740,8838677,218636057,6711286,6161205
2,Latin America & Caribbean,23,652863966,46615678,467490572,35994555,9640545
3,Middle East & North Africa,13,482573770,73292930,370994340,63086571,11495175
4,South Asia,8,2046947668,218114861,1170053784,152237986,91375670
5,Sub-Saharan Africa,43,1142730063,316978285,626516778,194426608,58486541
6,Low income,26,698043642,206125998,374001234,125161304,42222944
7,Lower middle income,46,3113313604,413426407,1831168352,289620035,130717401
8,Upper middle income,51,3231828171,86163987,2093642997,76925766,54944786
