,Category,Count,Population2010,popChangein2010_2020,UrbanPopulation2010,urbanPopChange2010_2020,UrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2020
0,East Asia & Pacific,38,2536395794,417181670,2089404747,164330175,76388771,20175581
1,Europe & Central Asia,52,1307420098,103107501,958325602,46191691,12983413,5053298
2,Latin America & Caribbean,37,626465885,86529192,489743206,56231105,11683658,847352
3,Middle East & North Africa,21,462544746,109619216,391505634,90122220,13848162,797022
4,North America,3,445623313,43435105,321817873,35099697,4825490,709975
5,South Asia,8,1804311944,413452962,1482633381,259171177,145187251,7018747
6,Sub-Saharan Africa,44,873423197,360619686,573147872,206363299,81920447,2202112
7,High income,79,1824976448,153310770,1382809976,80997790,16750598,5486060
8,Low income,26,537037000,227372471,352147575,122594940,61985866,1936547
9,Lower middle income,46,2677163881,659508562,2141977477,423374112,189799072,9245816
10,Upper middle income,51,2987911301,492109969,2403867891,230771684,78148243,20094856
