,Category,Count,Population2020,popChangein2020_2030,UrbanPopulation2020,urbanPopChange2020_2030,UrbanPopulation_10YearLag2030,NonUrbanPopulation_10YearLag2030
0,East Asia & Pacific,38,2708440372,285567054,2253734922,43019441,37722111,20026761
1,Europe & Central Asia,52,1352546981,74012332,1004517293,4835760,9158927,6726419
2,Latin America & Caribbean,37,691304291,64192236,545974311,42377486,8221061,706496
3,Middle East & North Africa,21,556547245,89625633,481627854,77619193,10020504,464848
4,North America,3,482277686,35729966,356917570,21772460,3914803,810305
5,South Asia,8,2046947668,338271547,1741804558,238489879,79425773,3508746
6,Sub-Saharan Africa,44,1142832384,357663740,779511171,274838745,84567677,1117682
7,High income,79,1908853592,105491935,1463807766,21369615,11085927,6746764
8,Low income,26,698043642,231061347,474742515,184398748,59784309,746829
9,Lower middle income,46,3113313604,574417829,2565351589,411713355,121975186,6094575
10,Upper middle income,51,3231828171,330448453,2634639575,82263713,39891548,19772678
